datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
12/27/2008 22:30,fort washington,md,us,disk,1200,15-20 minutes,Twinkling multicolor &quot;star&quot; that moved across the sky after being idle for over 10 minutes or more,1/10/2009,38.7072222,-77.0233333
12/28/2004 04:00,havre de grace,md,us,unknown,3600,@ 1 hour,the object looked like a star and appeared to get brighter at times as it moved up and down across the nights sky,1/11/2005,39.5491667,-76.0919444
12/28/2005 23:10,gaithersburg,md,us,light,10,10 seconds,SAW FLYING  OBJECT  AND IT DISSAPPEARD RIGHT BEFORE MY EYES&#33,2/14/2006,39.1433333,-77.2016667
12/28/2010 18:50,skidmore,md,us,light,4,3 -4 sec,Flash of light,1/5/2011,39.0211111,-76.4155556
12/28/2012 20:00,ocean city,md,us,triangle,3,3 seconds,A triangle of orange lights when looking north on Ocean City Beach towards DE. Later at 12:30 a.m. a bright flash of white lights (appr,2/4/2013,38.3363889,-75.0852778
12/29/2001 20:00,ellicott city,md,us,fireball,4,4 seconds,A green fireball going parllel to the horizon at about 20 degrees. It then seemed to burnout. I immediately thought of it as just a sho,1/11/2002,39.2672222,-76.7986111
12/29/2009 23:00,perryville,md,us,circle,10,10 sec,Dark round shadow blocks light from moon,4/13/2010,39.56,-76.0716667
12/30/2001 20:50,baltimore,md,us,sphere,1800,30 minutes,9 glowing orbs over Baltimore MD,2/4/2013,39.2902778,-76.6125
12/30/2012 20:00,temple hills,md,us,formation,30,30 seconds,Formation of 8 to 10 lights seen by Mother and Daughter,2/4/2013,38.8138889,-76.9458333
12/30/2012 21:15,baltimore,md,us,sphere,2700,30-45 minutes,Glowing orbs over Baltimore MD 12/30/2012.,2/4/2013,39.2902778,-76.6125
12/31/2013 22:00,new market,md,us,sphere,240,4 minutes,3 orange spheres (flame-like) objects seen traveling in the sky.,1/10/2014,39.3825,-77.2697222
12/3/2003 20:00,hagerstown (south of&#44 on i-81),md,us,triangle,60,60 seconds,I-81 south of Hagerstown MD&#44 we saw what appeared to be a large&#44 triangular object hovering just above the trees.,12/19/2003,39.6416667,-77.7202778
12/3/2006 05:00,havre de grace,md,us,fireball,210,3.5 min,((HOAX??))  CRESENT SHAPED FIRE OBJECT SEEN IN WOODS.,12/7/2006,39.5491667,-76.0919444
1/23/2007 12:00,baltimore,md,us,triangle,60,1 minute,Silver dots in triangle shape at noon on Saturday,2/1/2007,39.2902778,-76.6125
12/3/2011 17:00,temple hills,md,us,unknown,3600,1 hour,((HOAX??))  UFO Activity - Likely Associated with reports submitted between 11/18 /2011- 11/21/2011,12/12/2011,38.8138889,-76.9458333
12/3/2013 18:15,burtonsville,md,us,light,1800,30 minutes,Bright&#44 very slow moving light with blue sparkles seen by 5 for 30 minutes above Silver Spring&#44 MD.,12/5/2013,39.1111111,-76.9327778
1/24/2008 21:15,north east/bel air,md,NA,changing,60,1 minute,Red glowing object and Triangle -north east maryland,2/14/2008,39.535941,-76.348293
